Subject,Trial,Condition,Agency
1,1,sham,7
1,2,sham,6
1,3,sham,6
1,4,sham,4
1,5,sham,7
1,6,sham,4
1,7,sham,4
1,8,sham,4
1,9,sham,6
1,10,sham,7
1,11,sham,5
1,12,sham,7
1,13,sham,6
1,14,sham,5
1,15,sham,7
1,16,sham,6
1,17,sham,6
1,18,sham,7
1,19,sham,7
1,20,sham,7
1,1,tms,3
1,2,tms,4
1,3,tms,6
1,4,tms,4
1,5,tms,5
1,6,tms,5
1,7,tms,5
1,8,tms,7
1,9,tms,5
1,10,tms,6
1,11,tms,7
1,12,tms,5
1,13,tms,6
1,14,tms,6
1,15,tms,7
1,16,tms,7
1,17,tms,7
1,18,tms,5
1,19,tms,7
1,20,tms,5
1,1,ems,4
1,2,ems,2
1,3,ems,3
1,4,ems,3
1,5,ems,3
1,6,ems,3
1,7,ems,3
1,8,ems,3
1,9,ems,1
1,10,ems,2
1,11,ems,2
1,12,ems,2
1,13,ems,2
1,14,ems,3
1,15,ems,2
1,16,ems,3
1,17,ems,1
1,18,ems,2
1,19,ems,1
1,20,ems,1
2,1,sham,7
2,2,sham,7
2,3,sham,7
2,4,sham,7
2,5,sham,7
2,6,sham,7
2,7,sham,7
2,8,sham,7
2,9,sham,7
2,10,sham,7
2,11,sham,7
2,12,sham,7
2,13,sham,7
2,14,sham,7
2,15,sham,7
2,16,sham,7
2,17,sham,7
2,18,sham,7
2,19,sham,7
2,20,sham,7
2,1,tms,5
2,2,tms,7
2,3,tms,6
2,4,tms,6
2,5,tms,7
2,6,tms,7
2,7,tms,7
2,8,tms,6
2,9,tms,6
2,10,tms,6
2,11,tms,7
2,12,tms,7
2,13,tms,7
2,14,tms,6
2,15,tms,4
2,16,tms,7
2,17,tms,7
2,18,tms,1
2,19,tms,7
2,20,tms,7
2,1,ems,1
2,2,ems,1
2,3,ems,4
2,4,ems,3
2,5,ems,1
2,6,ems,2
2,7,ems,5
2,8,ems,1
2,9,ems,1
2,10,ems,1
2,11,ems,1
2,12,ems,4
2,13,ems,2
2,14,ems,2
2,15,ems,1
2,16,ems,1
2,17,ems,1
2,18,ems,3
2,19,ems,1
2,20,ems,2
3,1,sham,4
3,2,sham,4
3,3,sham,4
3,4,sham,4
3,5,sham,5
3,6,sham,4
3,7,sham,6
