Subject,Condition,RT
1,sham,218.9
1,tms,207.225
1,ems,208.075
2,sham,217.6875
2,tms,212.85
2,ems,218.5125
3,sham,210.875
3,tms,199.1625
3,ems,205.025
4,sham,185.3375
4,tms,206.6
4,ems,172.5375
5,sham,198.3625
5,tms,188.5
5,ems,186.7
6,sham,221.9125
6,tms,170.7375
6,ems,198.35
7,sham,216
7,tms,217.6375
7,ems,211.4625
8,sham,214.1625
8,tms,207.4875
8,ems,204.1625
9,sham,210.9625
9,tms,198.2875
9,ems,204.2375
10,sham,185.825
10,tms,185.95
10,ems,179.4875
11,sham,228.4
11,tms,229.25
11,ems,228.275
12,sham,194.3625
12,tms,190.0125
12,ems,195.625
