Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sub,1,184.25,33,0,4,101
tms-sub,2,234.25,33,0,6,101
tms-sub,3,201,33,0,4,101
tms-sub,4,201,33,0,4,101
tms-sub,5,184.25,33,0,4,101
tms-sub,6,201,33,0,5,101
tms-sub,7,167.5,33,0,5,101
tms-sub,8,200.75,33,0,5,101
tms-sub,9,200.75,33,0,5,101
tms-sub,10,184.25,33,0,5,101
tms-sub,11,201,33,0,5,101
tms-sub,12,167.5,33,0,5,101
tms-sub,13,217.5,33,0,4,101
tms-sub,14,167.5,33,0,4,101
tms-sub,15,184.25,33,0,5,101
tms-sub,16,184,33,0,4,101
tms-sub,17,150.75,33,0,4,101
tms-sub,18,184,33,0,3,101
tms-sub,19,200.75,33,0,6,101
tms-sub,20,184,33,0,3,101
tms-sham,1,200.75,33,0,3,101
tms-sham,2,152.75,33,0,5,101
tms-sham,3,217.5,33,0,5,101
tms-sham,4,167.5,33,0,7,101
tms-sham,5,200.75,33,0,5,101
tms-sham,6,184,33,0,5,101
tms-sham,7,201,33,0,6,101
tms-sham,8,184.25,33,0,7,101
tms-sham,9,200.75,33,0,5,101
tms-sham,10,217.5,33,0,4,101
tms-sham,11,219.5,33,0,6,101
tms-sham,12,200.75,33,0,6,101
tms-sham,13,184.25,33,0,5,101
tms-sham,14,184.25,33,0,7,101
tms-sham,15,200.75,33,0,6,101
tms-sham,16,184.25,33,0,6,101
tms-sham,17,184.25,33,0,5,101
tms-sham,18,184.25,33,0,5,101
tms-sham,19,200.75,33,0,4,101
tms-sham,20,217.5,33,0,4,101
ems-flex,1,188.75,0,9,2,101
ems-flex,2,188.75,0,9,2,101
ems-flex,3,222.25,0,9,2,101
ems-flex,4,222,0,9,2,101
ems-flex,5,189,0,9,2,101
ems-flex,6,189,0,9,2,101
ems-flex,7,188.75,0,9,2,101
ems-flex,8,188.75,0,9,2,101
ems-flex,9,189.25,0,9,2,101
ems-flex,10,188.75,0,9,2,101
ems-flex,11,190.5,0,9,2,101
ems-flex,12,205.5,0,9,1,101
ems-flex,13,205.5,0,9,1,101
ems-flex,14,188.75,0,9,4,101
ems-flex,15,205.5,0,9,3,101
ems-flex,16,189,0,9,2,101
ems-flex,17,205.5,0,9,4,101
ems-flex,18,189,0,9,2,101
ems-flex,19,189,0,9,4,101
ems-flex,20,189,0,9,3,101
