Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sham,1,234.25,38,0,4,121
tms-sham,2,217.75,38,0,4,121
tms-sham,3,234.25,38,0,4,121
tms-sham,4,184,38,0,4,121
tms-sham,5,234.25,38,0,5,121
tms-sham,6,217.5,38,0,4,121
tms-sham,7,217.5,38,0,6,121
tms-sham,8,167.5,38,0,5,121
tms-sham,9,167.75,38,0,5,121
tms-sham,10,250.75,38,0,7,121
tms-sham,11,234.25,38,0,6,121
tms-sham,12,201,38,0,5,121
tms-sham,13,217.5,38,0,6,121
tms-sham,14,184.25,38,0,5,121
tms-sham,15,184,38,0,5,121
tms-sham,16,234.25,38,0,5,121
tms-sham,17,234.25,38,0,6,121
tms-sham,18,184,38,0,5,121
tms-sham,19,201,38,0,6,121
tms-sham,20,217.5,38,0,6,121
tms-sub,1,167.5,38,0,4,121
tms-sub,2,184,38,0,4,121
tms-sub,3,184.25,38,0,5,121
tms-sub,4,251,38,0,7,121
tms-sub,5,251,38,0,5,121
tms-sub,6,184,38,0,5,121
tms-sub,7,201,38,0,5,121
tms-sub,8,234,38,0,6,121
tms-sub,9,167.5,38,0,5,121
tms-sub,10,217.5,38,0,5,121
tms-sub,11,217.5,38,0,6,121
tms-sub,12,184,38,0,5,121
tms-sub,13,200.75,38,0,6,121
tms-sub,14,201,38,0,5,121
tms-sub,15,184.25,38,0,5,121
tms-sub,16,167.5,38,0,5,121
tms-sub,17,200.75,38,0,6,121
tms-sub,18,200.75,38,0,6,121
tms-sub,19,167.5,38,0,6,121
tms-sub,20,217.5,38,0,6,121
ems-flex,1,200.75,0,10,2,121
ems-flex,2,201,0,10,2,121
ems-flex,3,200.75,0,10,1,121
ems-flex,4,201,0,10,2,121
ems-flex,5,201,0,10,2,121
ems-flex,6,200.75,0,10,2,121
ems-flex,7,200.75,0,10,1,121
ems-flex,8,217.5,0,10,1,121
ems-flex,9,201,0,10,1,121
ems-flex,10,201,0,10,1,121
ems-flex,11,234.25,0,10,2,121
ems-flex,12,200.75,0,10,1,121
ems-flex,13,217.5,0,10,3,121
ems-flex,14,217.5,0,10,3,121
ems-flex,15,201,0,10,2,121
ems-flex,16,201,0,10,1,121
ems-flex,17,200.75,0,10,2,121
ems-flex,18,200.75,0,10,2,121
ems-flex,19,200.75,0,10,3,121
ems-flex,20,200.75,0,10,3,121
